Gmt time,Open,High,Low,Close,Volume
01.01.2021 00:00:00.000,1.22174,1.22174,1.22174,1.22174,0
02.01.2021 00:00:00.000,1.22174,1.22174,1.22174,1.22174,0
03.01.2021 00:00:00.000,1.22411,1.22530,1.22318,1.22503,7239.5679
04.01.2021 00:00:00.000,1.22503,1.23098,1.22390,1.22530,229572.7656
05.01.2021 00:00:00.000,1.22531,1.23060,1.22474,1.22990,184166.9688
06.01.2021 00:00:00.000,1.22990,1.23495,1.22658,1.23385,275270.5938
07.01.2021 00:00:00.000,1.23387,1.23447,1.22453,1.22693,201081.5469
08.01.2021 00:00:00.000,1.22694,1.22848,1.21932,1.22234,207965.9063
09.01.2021 00:00:00.000,1.22234,1.22234,1.22234,1.22234,0
10.01.2021 00:00:00.000,1.22209,1.22357,1.21825,1.21872,11196.5918
11.01.2021 00:00:00.000,1.21871,1.22000,1.21324,1.21610,166088.2031
12.01.2021 00:00:00.000,1.21611,1.22099,1.21373,1.22090,150809.8594
13.01.2021 00:00:00.000,1.22091,1.22230,1.21401,1.21622,149194.7969
14.01.2021 00:00:00.000,1.21622,1.21787,1.21112,1.21510,174713.6563
15.01.2021 00:00:00.000,1.21510,1.21628,1.20753,1.20795,153408.2344
16.01.2021 00:00:00.000,1.20795,1.20795,1.20795,1.20795,0
17.01.2021 00:00:00.000,1.20854,1.20867,1.20664,1.20666,5685.2847
18.01.2021 00:00:00.000,1.20664,1.20870,1.20536,1.20781,107652.5938
19.01.2021 00:00:00.000,1.20779,1.21452,1.20776,1.21396,131027.0859
20.01.2021 00:00:00.000,1.21396,1.21585,1.20768,1.21150,130083.4141
21.01.2021 00:00:00.000,1.21150,1.21733,1.21096,1.21659,139868.8906
22.01.2021 00:00:00.000,1.21658,1.21898,1.21518,1.21745,125671.3516
23.01.2021 00:00:00.000,1.21745,1.21745,1.21745,1.21745,0
24.01.2021 00:00:00.000,1.21730,1.21738,1.21647,1.21672,3779.4951
25.01.2021 00:00:00.000,1.21673,1.21835,1.21161,1.21431,146927.625
26.01.2021 00:00:00.000,1.21431,1.21761,1.21080,1.21636,145155.1563
27.01.2021 00:00:00.000,1.21635,1.21700,1.20587,1.21032,194133.6875
28.01.2021 00:00:00.000,1.21030,1.21427,1.20810,1.21212,184835.7344
29.01.2021 00:00:00.000,1.21213,1.21562,1.20946,1.21387,186495.2969
30.01.2021 00:00:00.000,1.21387,1.21387,1.21387,1.21387,0
31.01.2021 00:00:00.000,1.21322,1.21353,1.21207,1.21231,6668.6299
01.02.2021 00:00:00.000,1.21229,1.21368,1.20563,1.20681,160684.3438
02.02.2021 00:00:00.000,1.20680,1.20880,1.20118,1.20369,147420.2813
03.02.2021 00:00:00.000,1.20371,1.20504,1.20043,1.20417,127229.0547
