Gmt time,Open,High,Low,Close,Volume
31.01.2017 22:00:00.000,1.07972,1.08073,1.07310,1.07681,244311.7493
01.02.2017 22:00:00.000,1.07686,1.08288,1.07560,1.07578,244494.17999999996
02.02.2017 22:00:00.000,1.07575,1.07975,1.07115,1.07818,233628.4015
03.02.2017 22:00:00.000,1.07818,1.07818,1.07818,1.07818,0
04.02.2017 22:00:00.000,1.07818,1.07818,1.07818,1.07818,0
05.02.2017 22:00:00.000,1.07896,1.07915,1.07059,1.07494,221099.2716
06.02.2017 22:00:00.000,1.07502,1.07506,1.06561,1.06830,231860.9483
07.02.2017 22:00:00.000,1.06832,1.07139,1.06407,1.06983,238445.55990000002
08.02.2017 22:00:00.000,1.06980,1.07095,1.06509,1.06545,233800.94669999997
09.02.2017 22:00:00.000,1.06545,1.06677,1.06077,1.06397,243459.7512
10.02.2017 22:00:00.000,1.06397,1.06397,1.06397,1.06397,0
11.02.2017 22:00:00.000,1.06397,1.06397,1.06397,1.06397,0
12.02.2017 22:00:00.000,1.06285,1.06585,1.05920,1.05979,199877.73070000001
13.02.2017 22:00:00.000,1.05975,1.06333,1.05608,1.05774,219755.63110000003
14.02.2017 22:00:00.000,1.05774,1.06092,1.05214,1.05999,238988.1102
15.02.2017 22:00:00.000,1.05998,1.06794,1.05911,1.06733,246289.71089999995
16.02.2017 22:00:00.000,1.06733,1.06767,1.06054,1.06114,209979.84840000002
17.02.2017 22:00:00.000,1.06114,1.06114,1.06114,1.06114,0
18.02.2017 22:00:00.000,1.06114,1.06114,1.06114,1.06114,0
19.02.2017 22:00:00.000,1.06075,1.06329,1.06031,1.06108,145367.7991
20.02.2017 22:00:00.000,1.06108,1.06150,1.05258,1.05366,226059.87919999997
21.02.2017 22:00:00.000,1.05366,1.05740,1.04938,1.05573,270228.0203
22.02.2017 22:00:00.000,1.05568,1.05952,1.05376,1.05815,239946.89829999997
23.02.2017 22:00:00.000,1.05817,1.06179,1.05565,1.05595,239719.358
24.02.2017 22:00:00.000,1.05595,1.05595,1.05595,1.05595,0
25.02.2017 22:00:00.000,1.05595,1.05595,1.05595,1.05595,0
26.02.2017 22:00:00.000,1.05637,1.06306,1.05515,1.05859,224388.3294
27.02.2017 22:00:00.000,1.05866,1.06301,1.05693,1.05762,255313.4808
28.02.2017 22:00:00.000,1.05762,1.05894,1.05142,1.05471,286450.5518
01.03.2017 22:00:00.000,1.05471,1.05511,1.04948,1.05064,243100.3623
02.03.2017 22:00:00.000,1.05055,1.06239,1.05022,1.06203,248287.93000000005
03.03.2017 22:00:00.000,1.06203,1.06203,1.06203,1.06203,0
04.03.2017 22:00:00.000,1.06203,1.06203,1.06203,1.06203,0
05.03.2017 22:00:00.000,1.06097,1.06399,1.05747,1.05807,201595.9798
06.03.2017 22:00:00.000,1.05805,1.06025,1.05581,1.05663,192012.30890000003
07.03.2017 22:00:00.000,1.05655,1.05741,1.05347,1.05402,204400.5686
08.03.2017 22:00:00.000,1.05398,1.06151,1.05249,1.05766,231916.9103
09.03.2017 22:00:00.000,1.05766,1.06990,1.05721,1.06728,216220.3113
10.03.2017 22:00:00.000,1.06728,1.06728,1.06728,1.06728,0
11.03.2017 22:00:00.000,1.06728,1.06728,1.06728,1.06728,0
12.03.2017 21:00:00.000,1.06747,1.07142,1.06520,1.06536,207691.94019999995
