Gmt time,Close_Ask,Close_Bid,Spread,Price
2017-01-31 22:00:00,1.07695,1.07681,0.00140000000000029,1.07688
2017-02-01 22:00:00,1.07584,1.07578,0.0005999999999994898,1.07581
2017-02-02 22:00:00,1.07876,1.07818,0.005800000000000249,1.0784699999999998
2017-02-03 22:00:00,1.07876,1.07818,0.005800000000000249,1.0784699999999998
2017-02-04 22:00:00,1.07876,1.07818,0.005800000000000249,1.0784699999999998
2017-02-05 22:00:00,1.07502,1.07494,0.0008000000000008001,1.07498
2017-02-06 22:00:00,1.06837,1.0683,0.000700000000000145,1.068335
2017-02-07 22:00:00,1.06992,1.06983,0.0008999999999992347,1.0698750000000001
2017-02-08 22:00:00,1.06554,1.06545,0.0008999999999992347,1.0654949999999999
2017-02-09 22:00:00,1.06427,1.06397,0.0029999999999996696,1.06412
2017-02-10 22:00:00,1.06427,1.06397,0.0029999999999996696,1.06412
2017-02-11 22:00:00,1.06427,1.06397,0.0029999999999996696,1.06412
2017-02-12 22:00:00,1.05989,1.05979,0.0009999999999998899,1.05984
2017-02-13 22:00:00,1.05789,1.05774,0.001500000000000945,1.057815
2017-02-14 22:00:00,1.06,1.05999,0.00010000000000065512,1.059995
2017-02-15 22:00:00,1.06739,1.06733,0.0006000000000017103,1.0673599999999999
2017-02-16 22:00:00,1.06151,1.06114,0.0036999999999998145,1.061325
2017-02-17 22:00:00,1.06151,1.06114,0.0036999999999998145,1.061325
2017-02-18 22:00:00,1.06151,1.06114,0.0036999999999998145,1.061325
2017-02-19 22:00:00,1.06135,1.06108,0.0026999999999999247,1.061215
2017-02-20 22:00:00,1.05376,1.05366,0.0009999999999998899,1.0537100000000001
2017-02-21 22:00:00,1.05582,1.05573,0.0008999999999992347,1.0557750000000001
2017-02-22 22:00:00,1.05823,1.05815,0.0008000000000008001,1.05819
2017-02-23 22:00:00,1.0563,1.05595,0.0035000000000007248,1.056125
2017-02-24 22:00:00,1.0563,1.05595,0.0035000000000007248,1.056125
2017-02-25 22:00:00,1.0563,1.05595,0.0035000000000007248,1.056125
2017-02-26 22:00:00,1.05875,1.05859,0.0016000000000016001,1.05867
2017-02-27 22:00:00,1.05769,1.05762,0.000700000000000145,1.057655
2017-02-28 22:00:00,1.05474,1.05471,0.0002999999999997449,1.054725
2017-03-01 22:00:00,1.05075,1.05064,0.001100000000000545,1.0506950000000002
2017-03-02 22:00:00,1.0625,1.06203,0.004699999999999704,1.062265
2017-03-03 22:00:00,1.0625,1.06203,0.004699999999999704,1.062265
2017-03-04 22:00:00,1.0625,1.06203,0.004699999999999704,1.062265
2017-03-05 22:00:00,1.05831,1.05807,0.0024000000000001798,1.0581900000000002
2017-03-06 22:00:00,1.05666,1.05663,0.0002999999999997449,1.056645
2017-03-07 22:00:00,1.05411,1.05402,0.0009000000000014552,1.054065
2017-03-08 22:00:00,1.05777,1.05766,0.001100000000000545,1.057715
2017-03-09 22:00:00,1.06763,1.06728,0.0035000000000007248,1.067455
2017-03-10 22:00:00,1.06763,1.06728,0.0035000000000007248,1.067455
2017-03-11 22:00:00,1.06763,1.06728,0.0035000000000007248,1.067455
2017-03-12 21:00:00,1.06537,1.06536,9.999999999843467e-05,1.065365
2017-03-13 21:00:00,1.06044,1.06035,0.0009000000000014552,1.060395
2017-03-14 21:00:00,1.07349,1.07339,0.0009999999999998899,1.0734400000000002
2017-03-15 21:00:00,1.07663,1.07652,0.001100000000000545,1.076575
2017-03-16 21:00:00,1.0739,1.07382,0.0008000000000008001,1.07386
2017-03-17 21:00:00,1.0739,1.07382,0.0008000000000008001,1.07386
2017-03-18 21:00:00,1.0739,1.07382,0.0008000000000008001,1.07386
2017-03-19 21:00:00,1.07396,1.07393,0.0002999999999997449,1.0739450000000001
2017-03-20 21:00:00,1.08117,1.08097,0.0019999999999997797,1.08107
2017-03-21 21:00:00,1.07978,1.07963,0.0014999999999987246,1.0797050000000001
2017-03-22 21:00:00,1.07843,1.0783,0.0012999999999996348,1.078365
2017-03-23 21:00:00,1.08004,1.07969,0.0034999999999985043,1.0798649999999999
2017-03-24 21:00:00,1.08004,1.07969,0.0034999999999985043,1.0798649999999999
2017-03-25 21:00:00,1.08004,1.07969,0.0034999999999985043,1.0798649999999999
2017-03-26 21:00:00,1.08652,1.08638,0.00140000000000029,1.08645
2017-03-27 21:00:00,1.08139,1.08125,0.00140000000000029,1.08132
2017-03-28 21:00:00,1.07663,1.07655,0.0008000000000008001,1.07659
2017-03-29 21:00:00,1.06752,1.06744,0.0008000000000008001,1.06748
2017-03-30 21:00:00,1.06561,1.06528,0.0032999999999994145,1.065445
